district,party,chamber,name,2018_score,lifetime_score
CA-01,R,1,"LaMalfa, Doug",3,1
CA-02,D,1,"Huffman, Jared",91,98
CA-03,D,1,"Garamendi, John",91,90
CA-04,R,1,"McClintock, Tom",6,4
CA-05,D,1,"Thompson, Mike",100,93
CA-06,D,1,"Matsui, Doris",94,96
CA-07,D,1,"Bera, Ami",91,93
CA-08,R,1,"Cook, Paul",0,2
CA-09,D,1,"McNerney, Jerry",91,94
CA-10,R,1,"Denham, Jeff",9,7
CA-11,D,1,"DeSaulnier, Mark",100,99
CA-12,D,1,"Pelosi, Nancy",100,94
CA-13,D,1,"Lee, Barbara",100,96
CA-14,D,1,"Speier, Jackie",n/a,91
CA-15,D,1,"Swalwell, Eric",89,95
CA-16,D,1,"Costa, Jim",69,49
CA-17,D,1,"Khanna, Ro",100,99
CA-18,D,1,"Eshoo, Anna",94,97
CA-19,D,1,"Lofgren, Zoe",97,91
CA-20,D,1,"Panetta, Jimmy",94,96
CA-21,R,1,"Valadao, David",11,5
CA-22,R,1,"Nunes, Devin",3,3
CA-23,R,1,"McCarthy, Kevin",3,3
CA-24,D,1,"Carbajal, Salud",83,91
CA-25,R,1,"Knight, Steve",11,5
CA-26,D,1,"Brownley, Julia",89,96
CA-27,D,1,"Chu, Judy",97,98
CA-28,D,1,"Schiff, Adam",97,98
CA-29,D,1,"Cárdenas, Tony",49,84
CA-30,D,1,"Sherman, Brad",97,97
CA-31,D,1,"Aguilar, Pete",91,97
CA-32,D,1,"Napolitano, Grace",94,90
CA-33,D,1,"Lieu, Ted",89,90
CA-34,D,1,"Gomez, Jimmy",97,96
CA-35,D,1,"Torres, Norma",94,96
CA-36,D,1,"Ruiz, Raul",91,94
CA-37,D,1,"Bass, Karen",66,87
CA-38,D,1,"Sanchez, Linda",97,93
CA-39,R,1,"Royce, Ed",9,11
CA-40,D,1,"Roybal-Allard, Lucille",100,95
CA-41,D,1,"Takano, Mark",97,99
CA-42,R,1,"Calvert, Ken",6,6
CA-43,D,1,"Waters, Maxine",94,91
CA-44,D,1,"Barragán, Nanette",94,96
CA-45,R,1,"Walters, Mimi",0,3
CA-46,D,1,"Correa, J.",91,91
CA-47,D,1,"Lowenthal, Alan",94,98
CA-48,R,1,"Rohrabacher, Dana",11,10
CA-49,R,1,"Issa, Darrell",3,4
CA-50,R,1,"Hunter, Duncan",0,2
CA-51,D,1,"Vargas, Juan",91,96
CA-52,D,1,"Peters, Scott",86,92
CA-53,D,1,"Davis, Susan",94,97
NY-01,R,1,"Zeldin, Lee",9,10
NY-02,R,1,"King, Peter",29,17
NY-03,D,1,"Suozzi, Thomas",97,97
NY-04,D,1,"Rice, Kathleen",91,94
NY-05,D,1,"Meeks, Gregory",100,89
NY-06,D,1,"Meng, Grace",100,97
NY-07,D,1,"Velazquez, Nydia",100,94
NY-08,D,1,"Jeffries, Hakeem",91,95
NY-09,D,1,"Clarke, Yvette",100,95
NY-10,D,1,"Nadler, Jerrold",100,97
NY-11,R,1,"Donovan, Daniel",26,19
NY-12,D,1,"Maloney, Carolyn",97,95
NY-13,D,1,"Espaillat, Adriano",100,99
NY-14,D,1,"Crowley, Joseph",86,94
NY-15,D,1,"Serrano, Jose",100,92
NY-16,D,1,"Engel, Eliot",100,93
NY-17,D,1,"Lowey, Nita",91,94
NY-18,D,1,"Maloney, Sean",89,88
NY-19,R,1,"Faso, John",37,36
NY-20,D,1,"Tonko, Paul",94,97
NY-21,R,1,"Stefanik, Elise",51,33
NY-22,R,1,"Tenney, Claudia",6,6
NY-23,R,1,"Reed, Tom",17,8
NY-24,R,1,"Katko, John",43,27
NY-25,D,1,"Morelle, Joe",100,100
NY-26,D,1,"Higgins, Brian",91,95
NY-27,R,1,"Collins, Chris",9,4
FL-01,R,1,"Gaetz, Matt",9,7
FL-02,R,1,"Dunn, Neal",0,1
FL-03,R,1,"Yoho, Ted",0,2
FL-04,R,1,"Rutherford, John",6,4
FL-05,D,1,"Lawson, Al",89,79
FL-06,R,1,"DeSantis, Ron",0,2
FL-07,D,1,"Murphy, Stephanie",83,87
FL-08,R,1,"Posey, Bill",0,5
FL-09,D,1,"Soto, Darren",100,100
FL-10,D,1,"Demings, Val",94,96
FL-11,R,1,"Webster, Daniel",0,5
FL-12,R,1,"Bilirakis, Gus",6,8
FL-13,D,1,"Crist, Charlie",94,89
FL-14,D,1,"Castor, Kathy",91,93
FL-15,R,1,"Ross, Dennis",3,4
FL-16,R,1,"Buchanan, Vern",40,22
FL-17,R,1,"Rooney, Tom",6,6
FL-18,R,1,"Mast, Brian",29,26
FL-19,R,1,"Rooney, Francis",20,10
FL-20,D,1,"Hastings, Alcee",94,84
FL-21,D,1,"Frankel, Lois",100,98
FL-22,D,1,"Deutch, Ted",94,91
FL-23,D,1,"Wasserman Schultz, Debbie",100,93
FL-24,D,1,"Wilson, Frederica",97,91
FL-25,R,1,"Diaz-Balart, Mario",17,11
FL-26,R,1,"Curbelo, Carlos",57,39
FL-27,R,1,"Ros-Lehtinen, Ileana",57,34
AL-01,R,1,"Byrne, Bradley",0,0
AL-02,R,1,"Roby, Martha",6,4
AL-03,R,1,"Rogers, Mike",3,6
AL-04,R,1,"Aderholt, Robert",0,3
AL-05,R,1,"Brooks, Mo",20,9
AL-06,R,1,"Palmer, Gary",0,1
AL-07,D,1,"Sewell, Terri",71,79
HI-01,D,1,"Hanabusa, Colleen",46,83
HI-02,D,1,"Gabbard, Tulsi",94,96
MO-01,D,1,"Clay, William Lacy",86,89
MO-02,R,1,"Wagner, Ann",0,2
MO-03,R,1,"Luetkemeyer, Blaine",0,3
MO-04,R,1,"Hartzler, Vicky",0,2
MO-05,D,1,"Cleaver, Emanuel",97,88
MO-06,R,1,"Graves, Sam",0,4
MO-07,R,1,"Long, Billy",3,2
MO-08,R,1,"Smith, Jason",3,1
TN-01,R,1,"Roe, Phil",3,2
TN-02,R,1,"Duncan, Jr., John J.",9,9
TN-03,R,1,"Fleischmann, Chuck",3,3
TN-04,R,1,"DesJarlais, Scott",3,2
TN-05,D,1,"Cooper, Jim",86,82
TN-06,R,1,"Black, Diane",3,3
TN-07,R,1,"Blackburn, Marsha",3,2
TN-08,R,1,"Kustoff, David",0,0
TN-09,D,1,"Cohen, Steve",94,97
LA-01,R,1,"Scalise, Steve",0,3
LA-02,D,1,"Richmond, Cedric",46,74
LA-03,R,1,"Higgins, Clay",0,0
LA-04,R,1,"Johnson, Mike",6,3
LA-05,R,1,"Abraham, Ralph",0,1
LA-06,R,1,"Graves, Garret",0,3
PA-01,D,1,"Brady, Robert",86,86
PA-02,D,1,"Evans, Dwight",94,94
PA-03,R,1,"Kelly, Mike",6,4
PA-04,R,1,"Perry, Scott",3,2
PA-05,R,1,"Thompson, Glenn",3,5
PA-06,R,1,"Costello, Ryan",43,34
PA-07,R,1,"Meehan, Patrick",0,16
PA-08,R,1,"Fitzpatrick, Brian",83,77
PA-09,R,1,"Shuster, Bill",3,5
PA-10,R,1,"Marino, Tom",6,5
PA-11,R,1,"Barletta, Lou",6,5
PA-12,R,1,"Rothfus, Keith",6,3
PA-13,D,1,"Boyle, Brendan",91,97
PA-14,D,1,"Doyle, Mike",91,78
PA-15,R,1,"Dent, Charlie",0,17
PA-16,R,1,"Smucker, Lloyd",3,3
PA-17,D,1,"Cartwright, Matt",91,96
PA-18,D,1,"Lamb, Conor",82,82
MI-01,R,1,"Bergman, Jack",9,7
MI-02,R,1,"Huizenga, Bill",0,4
MI-03,R,1,"Amash, Justin",37,18
MI-04,R,1,"Moolenaar, John",6,4
MI-05,D,1,"Kildee, Daniel",94,96
MI-06,R,1,"Upton, Fred",40,26
MI-07,R,1,"Walberg, Tim",0,3
MI-08,R,1,"Bishop, Mike",3,4
MI-09,D,1,"Levin, Sander",94,92
MI-10,R,1,"Mitchell, Paul",3,3
MI-11,R,1,"Trott, Dave",9,5
MI-12,D,1,"Dingell, Debbie",94,97
MI-13,D,1,"Jones, Brenda",100,100
MI-14,D,1,"Lawrence, Brenda",94,97
NV-01,D,1,"Titus, Dina",89,95
NV-02,R,1,"Amodei, Mark",14,5
NV-03,D,1,"Rosen, Jacky",94,96
NV-04,D,1,"Kihuen, Ruben",97,97
NJ-01,D,1,"Norcross, Donald",86,92
NJ-02,R,1,"LoBiondo, Frank",51,56
NJ-03,R,1,"MacArthur, Tom",23,16
NJ-04,R,1,"Smith, Christopher",60,61
NJ-05,D,1,"Gottheimer, Josh",80,81
NJ-06,D,1,"Pallone, Frank",91,96
NJ-07,R,1,"Lance, Leonard",60,27
NJ-08,D,1,"Sires, Albio",89,91
NJ-09,D,1,"Pascrell, Bill",91,93
NJ-10,D,1,"Payne, Donald",91,91
NJ-11,R,1,"Frelinghuysen, Rodney",17,30
