CAPTRADE,RENEWABLES,LANDCONSERVATION,EDUCATION,INCOME,AGE,GENDER,PARTYID
5,5,5,5,2,30,1,2
5,4,5,5,3,30,1,2
5,5,5,4,2,30,1,2
2,3,4,4,6,28,1,3
5,5,5,4,2,55,1,2
3,3,3,3,5,23,1,2
4,4,5,2,2,22,1,2
4,5,5,4,4,25,1,2
3,5,4,3,4,25,1,2
1,2,2,5,6,57,2,3
3,3,3,3,2,22,1,2
3,5,5,3,2,54,2,2
4,5,5,4,5,39,1,2
4,4,4,3,3,27,1,3
4,3,3,2,3,28,1,1
5,5,5,3,,24,2,2
1,2,2,4,2,48,1,1
4,4,4,2,1,62,2,2
2,4,2,4,1,36,1,3
3,2,4,3,5,26,1,2
3,5,3,5,4,43,1,1
4,4,4,3,4,21,2,3
4,4,5,4,3,22,2,2
4,5,5,5,3,30,2,2
5,5,5,4,6,33,1,3
1,1,1,4,5,27,2,1
4,5,5,4,4,31,1,2
4,4,5,4,4,39,1,2
4,5,4,2,1,22,2,3
4,4,5,4,4,32,2,2
4,5,5,4,2,31,1,2
3,4,5,4,3,28,2,2
4,4,4,4,3,24,1,3
3,4,5,4,3,24,2,3
3,3,3,2,4,26,1,3
4,5,5,4,2,33,1,3
1,5,1,1,2,45,2,3
3,4,5,3,4,52,2,3
3,4,5,2,5,36,1,3
3,4,4,4,2,32,1,2
5,5,5,3,2,21,2,3
5,4,4,3,4,35,1,2
2,3,4,3,5,35,1,2
3,4,4,5,6,47,2,2
4,4,4,3,3,26,1,1
4,3,2,3,6,22,1,2
4,4,5,5,1,46,2,4
3,4,5,5,2,50,1,2
3,3,4,3,4,39,1,2
3,3,5,4,2,23,2,2
1,3,5,3,2,36,2,4
5,5,5,4,4,35,1,2
3,4,3,4,2,31,1,4
4,4,5,4,2,25,1,2
4,5,4,3,3,32,1,2
4,3,3,4,6,38,1,3
4,1,4,4,2,41,2,2
3,3,3,4,3,24,1,3
1,3,3,4,4,32,1,3
2,1,3,3,2,24,1,1
4,4,4,4,4,35,1,3
3,5,5,4,3,35,1,3
4,4,3,4,6,50,1,1
1,1,3,2,3,32,1,1
4,4,3,2,2,23,1,2
2,2,4,4,5,63,2,1
2,5,4,3,5,27,2,3
2,4,1,3,3,55,1,3
5,5,5,3,4,36,1,2
3,5,5,4,5,26,2,3
4,4,5,3,3,24,1,2
3,4,4,2,4,67,1,1
3,4,4,5,5,37,1,3
4,5,5,4,5,42,1,3
3,5,5,4,4,38,1,2
3,4,3,4,4,31,1,2
4,5,5,3,2,25,1,3
5,5,5,2,1,33,1,2
5,5,5,4,4,32,1,2
3,4,4,4,3,36,2,1
5,5,5,4,6,45,1,3
3,4,4,2,1,24,1,3
3,5,4,3,3,36,1,2
2,3,3,4,4,57,2,1
4,4,3,3,5,35,2,3
5,4,4,4,2,29,2,1
4,5,3,3,1,22,1,2
3,5,3,2,1,27,2,3
4,4,4,5,6,42,1,4
2,3,4,3,3,25,2,2
5,5,5,3,3,27,2,1
3,5,5,4,4,33,2,2
3,4,3,4,3,35,1,2
5,5,5,3,4,20,2,3
4,5,5,4,5,37,2,2
1,1,1,3,3,29,1,1
3,3,3,3,5,39,1,4
4,4,5,4,2,59,1,4
2,3,3,4,2,56,2,3
2,4,4,4,3,27,2,1
3,5,5,4,2,30,1,2
4,5,4,3,6,43,1,2
5,5,5,4,5,33,2,3
3,3,3,2,2,33,1,2
1,5,3,4,5,38,1,3
3,4,4,4,6,35,1,2
5,4,5,4,6,24,2,1
2,4,5,5,5,36,1,2
5,5,5,5,4,27,1,2
4,4,3,4,2,23,1,1
4,4,4,4,5,29,2,1
4,4,4,4,4,37,2,2
5,5,5,3,2,59,2,2
2,3,5,3,4,30,1,3
3,5,5,3,2,28,1,1
4,5,5,4,4,35,1,2
4,5,4,3,4,32,2,1
4,4,4,4,4,39,1,2
4,4,4,3,2,30,1,2
3,4,4,4,3,32,1,1
3,3,3,3,2,22,2,3
3,3,2,3,4,41,2,1
4,4,3,3,3,31,2,2
3,4,4,5,3,31,1,2
3,5,4,4,3,36,2,2
1,2,3,3,3,31,1,1
5,5,5,3,2,42,2,2
4,4,4,5,6,45,2,1
4,4,4,3,2,40,1,3
1,1,3,3,3,46,1,4
4,4,5,5,1,34,1,2
4,5,3,5,3,30,1,2
3,5,4,2,2,35,2,1
5,5,4,3,3,44,2,1
4,5,5,3,2,20,2,2
1,1,3,3,2,43,1,3
3,5,5,4,2,57,1,4
1,3,3,2,3,34,1,3
4,5,4,3,3,30,2,2
5,5,5,2,3,31,2,1
3,5,4,4,3,71,1,2
3,4,4,4,4,55,1,2
5,5,5,4,2,29,2,3
5,5,5,4,6,38,1,2
3,4,3,2,2,37,1,2
2,4,5,4,4,52,1,3
1,1,1,4,3,30,2,1
4,3,4,3,5,25,2,2
3,3,3,4,3,23,1,3
4,4,4,4,4,33,1,2
3,3,3,3,1,55,2,2
2,4,3,4,1,45,2,4
4,5,5,4,3,24,1,3
5,5,5,3,6,21,2,2
5,5,5,4,6,41,2,1
4,5,5,5,6,50,2,2
3,4,5,3,4,53,2,2
5,5,5,3,3,52,2,2
3,3,3,2,5,32,1,2
2,4,3,4,5,52,2,1
1,3,3,5,4,54,1,1
5,5,4,5,4,26,1,2
3,5,5,4,6,42,2,2
5,5,5,3,3,42,2,4
1,2,2,4,4,37,1,1
4,5,4,4,2,21,2,2
4,4,4,4,6,29,1,1
4,5,5,3,3,30,1,2
5,5,5,3,1,56,2,2
3,3,4,4,4,39,1,1
3,5,4,4,3,24,1,3
3,4,5,4,3,35,1,3
3,4,4,3,3,21,1,2
3,3,4,3,1,29,1,3
4,4,5,4,4,32,2,2
3,4,4,4,6,31,2,3
3,5,5,3,4,61,2,3
2,4,2,2,2,52,1,1
5,5,5,5,3,50,2,2
4,4,4,3,4,20,1,2
5,4,4,4,3,25,2,2
2,4,4,4,3,30,1,3
4,4,3,2,2,28,1,3
2,4,4,4,4,30,1,4
5,4,4,4,3,23,1,3
3,4,4,3,4,24,1,2
4,4,4,5,3,30,2,2
1,2,2,4,5,34,1,3
1,3,1,2,2,23,2,3
2,3,4,4,6,31,1,1
4,5,5,5,1,28,1,2
3,4,4,3,3,29,2,2
3,4,5,4,6,25,2,2
5,5,4,4,6,22,1,3
4,4,3,5,4,21,1,3
4,5,5,5,6,34,2,2
3,5,5,3,3,33,2,2
4,4,4,4,1,31,1,3
3,3,3,3,6,26,2,2
